ENSG00000000005::ENSG00000111537	TNMD::IFNG	64.2471	7.33333	11	2;0;	PASS:GF	X:100585247-100585361;12:68159502-68159746;
ENSG00000009950::ENSG00000173239	MLXIPL::LIPM	5.84064	1.47826	17	0;22;	PASS:GF	7:73593194-73593982;10:88802947-88803042;
ENSG00000009954::ENSG00000185760	BAZ1B::KCNQ5	35.0438	12	6	0;0;	PASS:GF	7:73441566-73442552;6:72622191-72622586;
ENSG00000023516::ENSG00000177076	AKAP11::ACER2	213.391	4.5	45	2;17;	PASS:GF	13:42319088-42323246;9:19408926-19409191;
ENSG00000044090::ENSG00000171345	CUL7::KRT19	33.1942	0.685714	12	0;34;	PASS:GF	6:43037621-43038010;17:41524843-41524998;
ENSG00000052850::ENSG00000136603	ALX4::SKIL	332.917	4.56	57	20;4;	PASS:GF	11:44267495-44267621;3:170390220-170390463;
ENSG00000054118::ENSG00000165478	THRAP3::HEPACAM	125.009	5.11111	23	8;0;	PASS:GF	1:36286365-36287269;11:124935922-124936411;
ENSG00000056097::ENSG00000136758	ZFR::YME1L1	148.092	2.62069	38	5;23;	PASS:GF	5:32354353-32355938;10:27148907-27149039;
ENSG00000060237::ENSG00000103546	WNK1::SLC6A2	118.184	2.63158	25	4;14;	PASS:GF	12:894560-894634;16:55656256-55656351;
ENSG00000064547::ENSG00000204518	LPAR2::AADACL4	181.06	5.63636	31	10;0;	PASS:GF	19:19623668-19624568;1:12644546-12644713;
ENSG00000068654::ENSG00000167733	POLR1A::HSD11B1L	175.219	3.76471	32	7;9;	PASS:GF	2:86020221-86027522;19:5681043-5681270;
ENSG00000071246::ENSG00000157216	VASH1::SSBP3	22.9394	1.11111	5	0;8;	PASS:GF	14:76778947-76779974;1:54257126-54257185;
ENSG00000073067::ENSG00000139899	CYP2W1::CBLN3	99.2909	19	38	3;0;	PASS:GF	7:985168-985322;14:24428756-24429524;
ENSG00000074211::ENSG00000140545	PPP2R2C::MFGE8	75.9283	2.6	13	9;0;	PASS:GF	4:6323059-6323592;15:88913244-88913380;
ENSG00000074370::ENSG00000108947	ATP2A3::EFNB3	181.06	0.925	37	0;79;	PASS:GF	17:3929328-3929444;17:7705201-7705719;
ENSG00000078596::ENSG00000128482	ITM2A::RNF112	40.8845	2	8	7;0;	PASS:GF	X:79362579-79362690;17:19413694-19413823;
ENSG00000083067::ENSG00000198799	TRPM3::LRIG2	25.7375	0.666667	6	0;17;	PASS:GF	9:70535955-70537404;1:113073212-113073644;
ENSG00000083454::ENSG00000103534	P2RX5::TMC5	64.2471	4.54545	25	4;6;	PASS:GF	17:3679588-3679783;16:19444102-19444249;
ENSG00000084623::ENSG00000184451	EIF3I::CCR10	23.3626	2.46154	16	12;0;	PASS:GF	1:32221927-32222031;17:42679422-42680615;
ENSG00000086570::ENSG00000170779	FAT2::CDCA4	41.18	1.54545	34	43;0;	PASS:GF	5:151527233-151527376;14:105009575-105011935;
ENSG00000088247::ENSG00000130164	KHSRP::LDLR	52.5658	1.16667	14	13;10;	PASS:GF	19:6415380-6415456;19:11116854-11116997;
ENSG00000091947::ENSG00000123124	TMEM101::WWP1	93.4503	1.15152	19	0;32;	PASS:GF	17:44011192-44012235;8:86435458-86435526;
ENSG00000092439::ENSG00000140807	TRPM7::NKD1	51.4749	0.742857	13	34;0;	PASS:GF	15:50594429-50594612;16:50632282-50632407;
ENSG00000099984::ENSG00000124225	GSTT2::PMEPA1	40.7063	5.5	11	0;3;	PASS:GF	22:23980175-23980308;20:57648399-57652597;
ENSG00000100056::ENSG00000267022	ESS2::	174.339	2.3	46	0;39;	PASS:GF	22:19130287-19134474;19:44025353-44025477;
ENSG00000100078::ENSG00000151364	PLA2G3::KCTD14	23.7101	0.333333	5	29;0;	PASS:GF	22:31138278-31138409;11:78015724-78017268;
